date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:46	108637/108637	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2015:14:45%20GMT	https://outsourcing.britenet.eu/	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/index.html	(from )
16:14:47	133/133	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202023%2015:14:45%20GMT	https://outsourcing.britenet.eu/robots.txt		(from )
16:14:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2027%20Dec%202023%2015:14:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/www.googletagmanager.com/gtm.05445.delayed	(from https://outsourcing.britenet.eu/)
16:14:50	5612/5612	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2215ec-6053ce630de77%22	https://outsourcing.britenet.eu/wp-content/uploads/2023/09/LOGO_BRITENET_CLAIM_WHITE.svg	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/uploads/2023/09/LOGO_BRITENET_CLAIM_WHITE.svg	(from https://outsourcing.britenet.eu/)
16:14:51	110376/110376	---M-Z	200	added ('OK')	application/javascript	etag:%2280f0b7c9992eda1:0%22	https://consent.cookiebot.com/uc.js	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/consent.cookiebot.com/uc.js	(from https://outsourcing.britenet.eu/)
16:14:51	110035/110035	---M-Z	200	added ('OK')	text/css	etag:%221add3-6096ce9174c00-gzip%22	https://outsourcing.britenet.eu/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-includes/css/dist/block-library/style.minaec2.css	(from https://outsourcing.britenet.eu/)
16:14:52	1084/1084	---M-Z	200	added ('OK')	application/rss+xml	etag:%227d0dd2ebccdcb6dbe79facc930781a80-gzip%22	https://outsourcing.britenet.eu/feed/	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/feed/index.html	(from https://outsourcing.britenet.eu/)
16:14:52	53435/53435	---M-Z	200	added ('OK')	text/css	etag:%22d0bb-60a19108076b4-gzip%22	https://outsourcing.britenet.eu/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.9	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilitiescb95.css	(from https://outsourcing.britenet.eu/)
16:14:53	2859/2859	---M-Z	200	added ('OK')	text/css	etag:%22b2b-60a191018b800-gzip%22	https://outsourcing.britenet.eu/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.2	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/plugins/contact-form-7/includes/css/styles080f.css	(from https://outsourcing.britenet.eu/)
16:14:53	978/978	---M-Z	200	added ('OK')	application/rss+xml	etag:%227d0dd2ebccdcb6dbe79facc930781a80-gzip%22	https://outsourcing.britenet.eu/comments/feed/	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/comments/feed/index.html	(from https://outsourcing.britenet.eu/)
16:14:53	891/891	---M-Z	200	added ('OK')	application/rss+xml	etag:%227d0dd2ebccdcb6dbe79facc930781a80-gzip%22	https://outsourcing.britenet.eu/software-development-and-cloud-services/feed/	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/software-development-and-cloud-services/feed/index.html	(from https://outsourcing.britenet.eu/)
16:14:53	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%2226f1b-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/bootstrap.min.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/bootstrap.minaec2.css	(from https://outsourcing.britenet.eu/)
16:14:53	174244/174244	---M-Z	200	added ('OK')	text/css	etag:%222a8a4-5eb0b21df4040-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/font-awesome.min.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/font-awesome.minaec2.css	(from https://outsourcing.britenet.eu/)
16:14:54	16450/16450	---M-Z	200	added ('OK')	text/css	etag:%224042-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/themify-icons.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/themify-iconsaec2.css	(from https://outsourcing.britenet.eu/)
16:14:55	3449/3449	---M-Z	200	added ('OK')	text/css	etag:%22d79-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/flaticon-set.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/flaticon-setaec2.css	(from https://outsourcing.britenet.eu/)
16:14:56	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/magnific-popup.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/magnific-popupaec2.css	(from https://outsourcing.britenet.eu/)
16:14:57	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/owl.carousel.min.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/owl.carousel.minaec2.css	(from https://outsourcing.britenet.eu/)
16:14:57	936/936	---M-Z	200	added ('OK')	text/css	etag:%223a8-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/owl.theme.default.min.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/owl.theme.default.minaec2.css	(from https://outsourcing.britenet.eu/)
16:14:58	69727/69727	---M-Z	200	added ('OK')	text/css	etag:%221105f-5ea5e68679ec0-gzip%22	https://outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/animate.css?ver=6.4.1	C:/Users/hp/Desktop/Aldehyde%20Solutions/Aldehyde%20Solutions/outsourcing.britenet.eu/wp-content/themes/tanda/tanda/css/animateaec2.css	(from https://outsourcing.britenet.eu/)
